"","R.cases","R","R"
"65",53437805.3658494,78656718.9930406,88350657.8003186
"66",54360852.8346921,83379904.549559,69833190.5246483
"67",62650521.2021188,72395079.3160189,76964863.031207
"68",57325007.1881453,84630976.8154303,76748869.6473868
"69",51711533.4187899,75266394.1338557,73889960.9979533
"70",60495703.2453461,87952518.2784586,74840184.195473
"71",51826244.0613361,92178396.0223712,64329059.4244625
"72",52587991.365531,86381943.3987865,87165302.5474349
"73",60772043.3613923,78216490.6199425,70282210.3099108
"74",49259372.4392715,84837327.5171503,80451896.2232224
"75",49186580.4885049,79036902.5211127,79584291.0502355
"76",54170843.7434046,78632122.9539115,81376542.3161196
"77",53029491.8142429,84793216.8773362,80433984.7579949
"78",48873880.2197067,84895836.8824095,78006014.3014982
"79",50652955.0851741,76739864.9179763,79576611.1165136
"80",52560385.7906302,80734266.880291,71300132.7127605
"81",55215905.4091494,63931008.4895957,92768258.3831937
"82",54867436.5620176,85692492.2795335,81335579.3242865
"83",57685187.0537194,79022546.7646592,69604918.1985109
"84",52457122.9095513,75008933.3412701,75759324.3985886
"85",45779205.2094965,76607688.4912781,67463444.2101709
"86",57387029.9296972,70206198.5139064,83426250.9035099
"87",57417954.7761714,86312957.6822411,74687133.5004116
"88",47880103.194661,79044729.8003396,86467920.1462182
"89",51471125.2905641,86171106.6896529,81432311.0627527
"90",52187523.0697463,80683829.8686884,77847240.8997339
"91",49697028.872709,92628418.3184101,89204353.7110968
"92",61942100.9854436,74808298.829834,80550430.472457
"93",58532333.8239336,87193035.7315967,66644627.6214379
"94",41822038.1216559,84522724.9833624,79439604.3346744
"95",52450621.0628682,72078396.9395565,91374043.3260102
"96",54178396.2764398,73637910.3144969,87308735.4988629
"97",48662731.8609903,87213323.946507,80527688.2778661
"98",54791657.8867264,94549823.440184,75214766.2544466
"99",54124002.8804643,89208374.9246433,78253174.0678668
"100",55234837.9187264,76300620.7744692,77840518.2896117
"101",54213635.1817493,91942417.6634819,73862060.1994796
"102",52175565.2031798,76554907.1256536,81468484.9216336
"103",55156826.3683901,91391839.804189,80266064.2627877
"104",52377426.6177809,77523893.6123509,71531037.3242842
"105",50072476.8658365,78166120.8232315,88290591.6751628
"106",45091482.0931229,86863050.212513,82161687.3441355
"107",55049263.0846566,97319700.3585361,73430163.0847929
"108",47558378.3314629,76486903.1778873,89518791.0184646
"109",61223903.2308016,83855499.7039091,75007712.6958833
"110",49984228.8148353,91414483.5673182,73038117.5161936
"111",48563645.8574452,75964916.9664875,84337206.0760267
"112",52291755.5882034,88770045.6384485,79117264.8309997
"113",53602662.1684039,69292855.7650051,78381022.3088266
"114",58411295.6869621,90344199.9008051,78340297.903947
"115",60238081.0872006,82892476.7744951,68906217.9780484
"116",48298982.7336389,73934472.2170417,84605613.258471
"117",45952842.8147338,76518961.8236504,90644807.8386603
"118",42004461.8688099,80279192.8008755,76558907.6160242
"119",44859747.9922713,95555389.5970648,78063613.56442
"120",53122506.2791374,92986436.056468,100751808.491212
"121",60896149.8389361,76552664.2116427,68540518.10429
"122",46788135.429596,85087579.4054969,79983083.3075439
"123",65031450.9543744,91030755.84335,84047880.6052004
"124",58483205.8977651,86448873.9468828,68190187.4319363
"125",47941139.6386889,79007377.0413532,80290854.3002955
"126",58238651.5629864,81495871.4450085,84540392.8552388
"127",50127463.4867665,85474710.677399,55753802.1097463
"128",53750384.9773408,75581462.134162,73978181.7461191
"129",55250288.7807377,74199320.8720903,76389294.8609156
"130",53972757.1475982,73712076.0427222,82610648.9521594
"131",52705144.7202955,90353984.7830735,80905765.9204562
"132",61105455.6745373,62818051.2747307,86147173.8584475
"133",46361090.8013397,70953729.3185055,87542556.493228
"134",48221338.9795173,80230252.1743217,76736092.6230298
"135",51118272.478964,74699859.4100756,70949362.0327386
"136",57102411.7370425,86934692.054925,83144981.1404957
"137",48505331.9979204,74408229.0163813,76261780.5229312
"138",48853905.6110008,82788732.0510356,91312049.2232261
"139",53424576.2428311,82733990.3696728,71849100.5244862
"140",56148003.8931683,92715173.1306845,78992704.9927507
"141",54556048.3198595,69400467.2315723,70723445.1451093
"142",65304027.3688334,80212092.7183452,74003802.7277893
"143",51895096.8019495,84063563.7108276,77211955.6095657
"144",50712012.4142343,91995512.5535684,89677676.7810406
"145",56641332.4629128,89644684.8898694,72585628.361907
"146",50278369.4083438,84527503.4954519,83590118.2431814
"147",50549260.4256289,78729448.4832328,74985050.5294473
"148",46378652.4799752,83094603.2462174,80295906.0514133
"149",62377447.2811868,73361483.7323598,85946492.4498043
"150",54404670.4607959,78701715.094178,100631884.272212
"151",46717128.8289628,76066558.8595608,72045550.5625048
"152",58575242.7556683,73221622.4355182,82671513.6153067
"153",43466538.7452244,84693144.9365401,73489286.1396516
"154",46880783.851653,81372376.316224,81091555.8346159
"155",50583398.5133508,81314003.6568021,86444451.0498106
"156",60799813.9472069,66884508.8763088,82170707.4425049
"157",51224565.412747,79613723.3739788,78052913.5522185
"158",50736694.699773,79720342.9206369,83237806.306428
"159",54275146.034876,82683423.1191257,76123779.4831611
"160",55320297.260737,83490136.2242024,88000660.2498943
"161",50141631.9116464,81302124.4520617,83325345.9926402
"162",47992008.4823463,67453177.1295865,68147637.5512522
"163",54733243.0271407,68681206.5762271,69100597.1970452
"164",59784914.0509831,76074320.8500209,65076415.1733864
"165",46226701.2318669,81076834.0839312,75402291.0255101
"166",58464668.8722497,85259261.4077138,79469344.793079
"167",46172007.7693033,71745976.4653194,76810170.1007137
"168",58421299.4989332,89997444.2618498,78373855.8279705
"169",60929704.0844413,73018605.9644571,73894921.1914533
"170",50480495.3786361,75570395.371495,73231373.4155435
"171",48659920.7793146,76870046.7520628,76506806.5910854
"172",44349189.6804343,79529783.6791419,83632248.8730038
"173",50679231.1788524,73342849.7454279,81675258.7411367
"174",69539834.8688844,76119986.9549516,72598555.5609919
"175",56985098.5998155,86773815.9057436,80701855.0276768
"176",57133802.2413578,80149485.3439504,87398057.5786379
"177",61024916.1903977,93070298.5891268,88633406.7995991
"178",51835251.2398939,86445434.3209635,84161096.8193124
"179",61996482.2183885,83762115.4944207,72372517.051456
"180",60076422.1152266,102949217.745982,88665004.6731427
"181",50721458.8669061,81017051.5602797,67544348.3310375
"182",52046621.7185739,83334670.0862757,63743228.9793936
"183",51707209.2748282,87721351.8079464,79732182.2527317
"184",40329573.7149419,86140306.4276823,84234745.2684696
"185",52734523.0373766,80106953.8802735,70097068.9959136
"186",60444668.4183804,83548899.7322402,72262761.681406
"187",55261835.147804,70393385.4931488,91443857.7289221
"188",66558092.4835811,71386354.2306523,92576295.5202449
"189",56478274.5391131,87736639.4202064,77549618.8254328
"190",52964417.3893563,91094262.0599568,70030579.3378472
"191",49048293.6055983,76369396.2180203,67883734.305341
"192",51435343.7972105,83242834.4619853,74041881.3332428
"193",54953049.8464096,85916611.6846601,77157191.8632662
"194",53880291.2786849,96000511.8342774,69215517.1053225
"195",57421950.1902678,80382137.5693953,71905296.9975489
"196",54661934.5725601,68650113.8439665,71492931.890091
"197",51801156.7833743,81148647.0259347,79903337.0505346
"198",52303259.6220138,85661838.2263239,64370728.3639457
"199",47427868.5724393,95698042.8015693,84576238.5845108
"200",58295071.2302184,74747487.6292738,56453599.4196362
"201",50697740.2668847,73210162.8835989,75780504.8846042
"202",51987635.5745936,76596791.2905687,87993381.4640756
"203",72167628.4948179,81685590.0401498,82688932.585346
"204",52986710.2829078,97150299.4511372,76535630.3305764
"205",50097814.6562311,78819800.2916658,80476430.3923187
"206",44523399.4605781,88192409.0174919,81328220.2322526
"207",60669966.1499058,81161376.1547631,85878551.0605546
"208",55784091.7938275,68579001.4070721,81173270.8328681
"209",43621010.4732931,76404450.7340762,78455670.5775008
"210",62890553.4730657,74056793.7910018,80093454.8633785
"211",51984088.4122663,83564261.7436091,73695717.0492464
"212",53958353.629817,70353794.2873901,73723165.790608
"213",52820752.6357397,78504272.1942784,73894504.2145923
"214",46804635.920796,69257250.7359076,78162725.3822745
"215",56186628.86218,66863723.9360485,72005559.8990338
"216",53250042.9973458,74001544.6404368,74579737.4912455
"217",51651173.9404533,90824033.0788472,65799242.6979585
"218",43100913.3843768,65908312.441002,67805817.4612639
"219",51074046.4651465,74673147.9312949,86542871.3575505
"220",55929046.1690312,77953572.0710186,82764861.335649
"221",47481922.674789,73047481.2860993,63698000.1274142
"222",56096147.692242,81474829.2539543,71114821.0331606
"223",56968830.8760092,79686578.8661516,83128730.2255539
"224",50510060.5586955,80605883.7681666,75056591.7020813
"225",45862485.6133953,85021950.1966264,76690841.0439654
"226",45510576.2817063,78926548.0930465,77483468.2077976
"227",52035533.9122823,84135232.3649095,74450444.2455839
"228",44399845.0121344,79623404.8120473,86004804.4030301
"229",56916905.4924517,69375073.9977935,74063658.6724792
"230",60617157.089355,74579009.691805,79314031.2326121
"231",51837431.6211235,76323791.8336174,81911393.4583873
"232",41673771.9589558,97167613.9041411,75517401.8797925
"233",47008342.203129,74710592.6201039,92915986.7722931
"234",54599828.1968795,84132545.6235276,70870380.3855024
"235",47203217.0982692,89670306.2257019,67949294.7231526
"236",53031790.5810253,78670417.0984435,70738749.6949345
"237",52178714.9535417,77078376.682096,82808569.6334495
"238",49232800.0565863,75233604.1154934,70809917.8287751
"239",46648263.6311097,77941941.7855102,80987427.5503054
"240",48048051.893503,81476677.781612,72114486.4783254
"241",44892789.460594,87169982.052701,79691341.3443587
"242",47208377.2503799,84440636.8833306,74503411.449905
"243",60476886.3147339,89340889.1294948,72301386.5303396
"244",47909546.3749125,67014176.5964919,83235065.8480477
"245",51408820.2472062,89789298.9696586,90486804.347018
"246",58333260.05871,68665424.2556446,81099233.8237902
"247",55280222.1967444,74516617.5915728,72871923.6283537
"248",57809744.1275762,95999402.2683291,67940312.3338201
"249",56385593.7577954,89788251.5310392,84900891.2985358
"250",52067457.3611335,87349734.6660302,67266139.4948831
"251",58393837.9168585,79135437.6943809,77227827.8223077
"252",55734466.6970281,70422580.7527693,85622191.2390576
"253",43555409.5634176,74730366.6061586,64255030.1738302
